index,pic_key,date_hour,date,co2,stemp,stemp2,stemp3,stemp4,stemp5,shumi,shumi2,shumi3,shumi4,shumi5,ts,insert_time,humi,pm10,pm25,press,solar,temp,wind_d,wind_sp,LAI,image_path,label,sensor,fold
0.081176095,/789/1655511249_1655511073_4.jpg,2022-06-18 08,2022/6/18,0.514042553,0.382165605,0.380597015,0.456896552,0.899267399,0.4375,0.872222222,0.976982097,0.726600985,0.989333333,0.512562814,18/6/2022 08:01:50,19/6/2022 01:00:24,0.751449275,0.000750188,0.000750188,0.341246291,0.08875,0.473939394,0.765425236,0.35248296,0.339840284,/home/junsheng/data/tianhang_rice/1655511249_1655511073_4.jpg,0.339840284,"[0.5140425531914894, 0.3821656050955414, 0.3805970149253731, 0.45689655172413784, 0.4374999999999999, 0.8722222222222223, 0.976982097186701, 0.726600985221675, 0.5125628140703515, 0.7514492753623188, 0.0007501875468867217, 0.0007501875468867217, 0.3412462908011876, 0.08875, 0.47393939393939394, 0.7654252362423568, 0.3524829600778968]",0
0.082134867,/789/1655518493_1655518278_4.jpg,2022-06-18 10,2022/6/18,0.492765957,0.382165605,0.373134328,0.439655172,0.895604396,0.427083333,0.872222222,0.961636829,0.726600985,0.989333333,0.512562814,18/6/2022 10:31:50,19/6/2022 01:00:36,0.514202899,0.000750188,0.000750188,0.332344214,0.5143,0.614949495,0.741245136,0.227848101,0.339840284,/home/junsheng/data/tianhang_rice/1655518493_1655518278_4.jpg,0.339840284,"[0.4927659574468085, 0.3821656050955414, 0.3731343283582091, 0.4396551724137931, 0.4270833333333334, 0.8722222222222223, 0.9616368286445013, 0.726600985221675, 0.5125628140703515, 0.5142028985507247, 0.0007501875468867217, 0.0007501875468867217, 0.3323442136498503, 0.5143, 0.6149494949494949, 0.7412451361867703, 0.22784810126582278]",0
0.085330777,/789/1655583235_1655583073_4.jpg,2022-06-19 04,2022/6/19,0.525957447,0.433121019,0.425373134,0.50862069,0.906593407,0.458333333,0.872222222,0.974424552,0.729064039,0.988,0.512562814,19/6/2022 04:31:50,20/6/2022 01:00:13,0.702898551,0.007501875,0.0060015,0.376854599,0.02375,0.402424242,0.712062257,0.077896787,0.375015277,/home/junsheng/data/tianhang_rice/1655583235_1655583073_4.jpg,0.375015277,"[0.5259574468085106, 0.4331210191082803, 0.42537313432835827, 0.5086206896551725, 0.4583333333333335, 0.8722222222222223, 0.9744245524296675, 0.729064039408867, 0.5125628140703515, 0.7028985507246377, 0.007501875468867217, 0.006001500375093774, 0.37685459940652694, 0.02375, 0.40242424242424246, 0.7120622568093384, 0.07789678675754626]",0
0.087248322,/789/1655604862_1655604677_4.jpg,2022-06-19 10,2022/6/19,0.486808511,0.394904459,0.380597015,0.448275862,0.897435897,0.4375,0.872222222,0.976982097,0.724137931,0.988,0.507537688,19/6/2022 10:31:50,20/6/2022 01:00:36,0.308695652,0.001500375,0.001500375,0.362017804,0.4879,0.632323232,0.545025014,0.302823759,0.375015277,/home/junsheng/data/tianhang_rice/1655604862_1655604677_4.jpg,0.375015277,"[0.4868085106382979, 0.3949044585987261, 0.3805970149253731, 0.44827586206896564, 0.4374999999999999, 0.8722222222222223, 0.976982097186701, 0.7241379310344827, 0.5075376884422111, 0.308695652173913, 0.0015003750937734434, 0.0015003750937734434, 0.3620178041543014, 0.4879, 0.6323232323232323, 0.5450250138966092, 0.3028237585199611]",0
0.089485459,/789/1655633662_1655633473_4.jpg,2022-06-19 18,2022/6/19,0.490212766,0.554140127,0.447761194,0.560344828,0.904761905,0.4375,0.872222222,0.961636829,0.731527094,0.988,0.512562814,19/6/2022 18:01:50,20/6/2022 01:01:01,0.197971014,0.001500375,0.001500375,0.34421365,0.02395,0.69010101,0.871317399,0.184031159,0.375015277,/home/junsheng/data/tianhang_rice/1655633662_1655633473_4.jpg,0.375015277,"[0.4902127659574468, 0.554140127388535, 0.4477611940298509, 0.5603448275862071, 0.4374999999999999, 0.8722222222222223, 0.9616368286445013, 0.7315270935960589, 0.5125628140703515, 0.19797101449275356, 0.0015003750937734434, 0.0015003750937734434, 0.34421364985163344, 0.02395, 0.69010101010101, 0.8713173985547527, 0.18403115871470302]",0
0.091403004,/789/1655684067_1655683874_4.jpg,2022-06-20 08,2022/6/20,0.498723404,0.401273885,0.410447761,0.482758621,0.904761905,0.458333333,0.880555556,0.971867008,0.729064039,0.988,0.512562814,20/6/2022 08:01:50,21/6/2022 01:00:24,0.494927536,0.00300075,0.00300075,0.46884273,0.3304,0.571313131,0.942468038,0.154819864,0.405161792,/home/junsheng/data/tianhang_rice/1655684067_1655683874_4.jpg,0.405161792,"[0.49872340425531914, 0.40127388535031855, 0.41044776119403, 0.48275862068965514, 0.4583333333333335, 0.8805555555555556, 0.9718670076726345, 0.729064039408867, 0.5125628140703515, 0.4949275362318841, 0.003000750187546887, 0.003000750187546887, 0.468842729970326, 0.33039999999999997, 0.5713131313131313, 0.9424680377987771, 0.1548198636806232]",0
0.093000959,/789/1655698436_1655698272_4.jpg,2022-06-20 12,2022/6/20,0.483404255,0.452229299,0.395522388,0.474137931,0.899267399,0.447916667,0.872222222,0.971867008,0.726600985,0.988,0.507537688,20/6/2022 12:31:50,21/6/2022 01:00:43,0.322608696,0.00300075,0.00300075,0.454005935,0.3957,0.698989899,0.347415231,0.112950341,0.405161792,/home/junsheng/data/tianhang_rice/1655698436_1655698272_4.jpg,0.405161792,"[0.48340425531914893, 0.4522292993630572, 0.3955223880597014, 0.47413793103448293, 0.4479166666666667, 0.8722222222222223, 0.9718670076726345, 0.726600985221675, 0.5075376884422111, 0.32260869565217387, 0.003000750187546887, 0.003000750187546887, 0.45400593471810047, 0.3957, 0.698989898989899, 0.34741523068371316, 0.11295034079844206]",0
0.09332055,/789/1655705708_1655705472_4.jpg,2022-06-20 14,2022/6/20,0.487659574,0.496815287,0.410447761,0.5,0.901098901,0.4375,0.872222222,0.956521739,0.729064039,0.988,0.507537688,20/6/2022 14:01:50,21/6/2022 01:00:47,0.334927536,0.00300075,0.001500375,0.445103858,0.137,0.689292929,0.541689828,0.099318403,0.405161792,/home/junsheng/data/tianhang_rice/1655705708_1655705472_4.jpg,0.405161792,"[0.4876595744680851, 0.4968152866242039, 0.41044776119403, 0.49999999999999994, 0.4374999999999999, 0.8722222222222223, 0.956521739130435, 0.729064039408867, 0.5075376884422111, 0.33492753623188404, 0.003000750187546887, 0.0015003750937734434, 0.44510385756676646, 0.13699999999999998, 0.6892929292929293, 0.5416898276820455, 0.09931840311587148]",0
0.094918504,/789/1655720072_1655719872_4.jpg,2022-06-20 18,2022/6/20,0.512340426,0.560509554,0.470149254,0.577586207,0.908424908,0.458333333,0.866666667,0.95140665,0.729064039,0.989333333,0.512562814,20/6/2022 18:31:50,21/6/2022 01:01:06,0.596811594,0.0060015,0.005251313,0.442136499,0.01175,0.583434343,0.096442468,0.097370983,0.405161792,/home/junsheng/data/tianhang_rice/1655720072_1655719872_4.jpg,0.405161792,"[0.512340425531915, 0.5605095541401275, 0.4701492537313432, 0.5775862068965518, 0.4583333333333335, 0.8666666666666667, 0.9514066496163684, 0.729064039408867, 0.5125628140703515, 0.5968115942028986, 0.006001500375093774, 0.005251312828207052, 0.4421364985163207, 0.01175, 0.5834343434343435, 0.09644246803779878, 0.09737098344693282]",0
0.095877277,/789/1655763268_1655763072_4.jpg,2022-06-21 06,2022/6/21,0.509787234,0.458598726,0.447761194,0.534482759,0.912087912,0.5,0.872222222,0.971867008,0.729064039,0.989333333,0.512562814,21/6/2022 06:01:50,22/6/2022 01:00:17,0.683333333,0.006751688,0.003750938,0.308605341,0.0606,0.528080808,0.200389105,0.275559883,0.428379585,/home/junsheng/data/tianhang_rice/1655763268_1655763072_4.jpg,0.428379585,"[0.5097872340425532, 0.45859872611464964, 0.4477611940298509, 0.5344827586206897, 0.5, 0.8722222222222223, 0.9718670076726345, 0.729064039408867, 0.5125628140703515, 0.6833333333333335, 0.006751687921980495, 0.0037509377344336083, 0.30860534124629074, 0.060599999999999994, 0.528080808080808, 0.20038910505836574, 0.2755598831548199]",0
