index,pic_key,date_hour,date,co2,stemp,stemp2,stemp3,stemp4,stemp5,shumi,shumi2,shumi3,shumi4,shumi5,ts,insert_time,humi,pm10,pm25,press,solar,temp,wind_d,wind_sp,LAI,image_path,label,sensor,fold
0.183125599,/797/1655496809_1655496663_4.jpg,2022-06-18 04,2022/6/18,0.334468085,0.363057325,0.365671642,0.413793103,0,0.291666667,0.116666667,0.468030691,0.482758621,0,0.331658291,18/6/2022 04:01:50,19/6/2022 01:09:32,0.848550725,0.004501125,0.004501125,0.296735905,0.0126,0.404444444,0.762367982,0.365141188,0.149068323,/home/junsheng/data/tianhang_corn/1655496809_1655496663_4.jpg,0.149068323,"[0.334468085106383, 0.3630573248407643, 0.3656716417910448, 0.4137931034482758, 0.2916666666666667, 0.11666666666666657, 0.4680306905370844, 0.4827586206896552, 0.33165829145728654, 0.8485507246376811, 0.00450112528132033, 0.00450112528132033, 0.296735905044511, 0.0126, 0.4044444444444445, 0.7623679822123401, 0.3651411879259981]",0
0.184403963,/797/1655504080_1655503863_4.jpg,2022-06-18 06,2022/6/18,0.332765957,0.337579618,0.350746269,0.396551724,0,0.291666667,0.113888889,0.465473146,0.482758621,0,0.331658291,18/6/2022 06:01:50,19/6/2022 01:09:38,0.803333333,0.003750938,0.003750938,0.320474777,0.0442,0.424242424,0.690939411,0.201557936,0.149068323,/home/junsheng/data/tianhang_corn/1655504080_1655503863_4.jpg,0.149068323,"[0.33276595744680854, 0.33757961783439494, 0.3507462686567165, 0.396551724137931, 0.2916666666666667, 0.11388888888888896, 0.4654731457800513, 0.4827586206896552, 0.33165829145728654, 0.8033333333333335, 0.0037509377344336083, 0.0037509377344336083, 0.3204747774480705, 0.044199999999999996, 0.42424242424242425, 0.6909394107837687, 0.2015579357351509]",0
0.185362736,/797/1655504080_1655503863_4.jpg,2022-06-18 06,2022/6/18,0.331914894,0.337579618,0.343283582,0.387931034,0,0.291666667,0.113888889,0.465473146,0.482758621,0,0.331658291,18/6/2022 06:31:50,19/6/2022 01:09:42,0.794637681,0.002250563,0.002250563,0.323442136,0.046,0.427474747,0.738465814,0.287244401,0.149068323,/home/junsheng/data/tianhang_corn/1655504080_1655503863_4.jpg,0.149068323,"[0.33191489361702126, 0.33757961783439494, 0.34328358208955223, 0.3879310344827588, 0.2916666666666667, 0.11388888888888896, 0.4654731457800513, 0.4827586206896552, 0.33165829145728654, 0.7946376811594202, 0.002250562640660165, 0.002250562640660165, 0.3234421364985163, 0.046, 0.4274747474747474, 0.7384658143413007, 0.28724440116845185]",0
0.187280281,/797/1655518402_1655518264_4.jpg,2022-06-18 10,2022/6/18,0.322553191,0.343949045,0.320895522,0.370689655,0,0.270833333,0.113888889,0.460358056,0.477832512,0,0.331658291,18/6/2022 10:01:50,19/6/2022 01:09:51,0.514202899,0.000750188,0.000750188,0.332344214,0.5143,0.614949495,0.741245136,0.227848101,0.149068323,/home/junsheng/data/tianhang_corn/1655518402_1655518264_4.jpg,0.149068323,"[0.3225531914893617, 0.3439490445859872, 0.32089552238805963, 0.3706896551724137, 0.2708333333333334, 0.11388888888888896, 0.4603580562659847, 0.4778325123152709, 0.33165829145728654, 0.5142028985507247, 0.0007501875468867217, 0.0007501875468867217, 0.3323442136498503, 0.5143, 0.6149494949494949, 0.7412451361867703, 0.22784810126582278]",0
0.188878236,/797/1655525586_1655525463_4.jpg,2022-06-18 12,2022/6/18,0.318297872,0.369426752,0.320895522,0.362068966,0,0.270833333,0.119444444,0.460358056,0.475369458,0,0.326633166,18/6/2022 12:31:50,19/6/2022 01:10:01,0.349275362,0,0,0.317507418,0.20965,0.674343434,0.720678155,0.465433301,0.149068323,/home/junsheng/data/tianhang_corn/1655525586_1655525463_4.jpg,0.149068323,"[0.31829787234042556, 0.3694267515923568, 0.32089552238805963, 0.3620689655172415, 0.2708333333333334, 0.1194444444444444, 0.4603580562659847, 0.4753694581280789, 0.3266331658291454, 0.3492753623188406, 0.0, 0.0, 0.31750741839762475, 0.20965, 0.6743434343434344, 0.7206781545302946, 0.4654333008763389]",0
0.1901566,/797/1655532838_1655532664_4.jpg,2022-06-18 14,2022/6/18,0.317446809,0.47133758,0.335820896,0.362068966,0,0.260416667,0.136111111,0.462915601,0.475369458,0,0.326633166,18/6/2022 14:31:50,19/6/2022 01:10:07,0.180869565,0.001500375,0.001500375,0.305637982,0.43925,0.79959596,0.852140078,0.311587147,0.149068323,/home/junsheng/data/tianhang_corn/1655532838_1655532664_4.jpg,0.149068323,"[0.3174468085106383, 0.47133757961783435, 0.3358208955223882, 0.3620689655172415, 0.26041666666666663, 0.1361111111111111, 0.462915601023018, 0.4753694581280789, 0.3266331658291454, 0.18086956521739125, 0.0015003750937734434, 0.0015003750937734434, 0.305637982195845, 0.43925, 0.7995959595959595, 0.8521400778210118, 0.31158714703018503]",0
0.190795781,/797/1655547242_1655539864_4.jpg,2022-06-18 16,2022/6/18,0.318297872,0.560509554,0.365671642,0.379310345,0,0.25,0.15,0.465473146,0.475369458,0,0.32160804,18/6/2022 16:01:50,19/6/2022 01:10:10,0.106231884,0.000750188,0.000750188,0.305637982,0.1838,0.800808081,0.817120623,0.290165531,0.149068323,/home/junsheng/data/tianhang_corn/1655547242_1655539864_4.jpg,0.149068323,"[0.31829787234042556, 0.5605095541401275, 0.3656716417910448, 0.37931034482758624, 0.25000000000000017, 0.15, 0.4654731457800513, 0.4753694581280789, 0.321608040201005, 0.10623188405797099, 0.0007501875468867217, 0.0007501875468867217, 0.305637982195845, 0.1838, 0.8008080808080809, 0.8171206225680934, 0.2901655306718598]",0
0.191754554,/797/1655547242_1655539864_4.jpg,2022-06-18 16,2022/6/18,0.318297872,0.579617834,0.373134328,0.387931034,0,0.25,0.15,0.465473146,0.475369458,0,0.32160804,18/6/2022 16:31:50,19/6/2022 01:10:14,0.136811594,0.002250563,0.002250563,0.308605341,0.15905,0.781818182,0.785992218,0.240506329,0.149068323,/home/junsheng/data/tianhang_corn/1655547242_1655539864_4.jpg,0.149068323,"[0.31829787234042556, 0.5796178343949043, 0.3731343283582091, 0.3879310344827588, 0.25000000000000017, 0.15, 0.4654731457800513, 0.4753694581280789, 0.321608040201005, 0.1368115942028985, 0.002250562640660165, 0.002250562640660165, 0.30860534124629074, 0.15905, 0.7818181818181819, 0.7859922178988327, 0.24050632911392408]",0
0.195909236,/797/1655597604_1655597464_4.jpg,2022-06-19 08,2022/6/19,0.325106383,0.363057325,0.365671642,0.422413793,0,0.302083333,0.108333333,0.460358056,0.477832512,0,0.326633166,19/6/2022 08:01:50,20/6/2022 01:09:41,0.516231884,0.005251313,0.003750938,0.388724036,0.20305,0.506666667,0.752640356,0.148003895,0.221714967,/home/junsheng/data/tianhang_corn/1655597604_1655597464_4.jpg,0.221714967,"[0.3251063829787234, 0.3630573248407643, 0.3656716417910448, 0.42241379310344834, 0.30208333333333354, 0.10833333333333331, 0.4603580562659847, 0.4778325123152709, 0.3266331658291454, 0.516231884057971, 0.005251312828207052, 0.0037509377344336083, 0.3887240356083101, 0.20305, 0.5066666666666666, 0.7526403557531962, 0.14800389483933787]",0
0.1971876,/797/1655604803_1655604664_4.jpg,2022-06-19 10,2022/6/19,0.322553191,0.369426752,0.350746269,0.405172414,0,0.302083333,0.108333333,0.455242967,0.475369458,0,0.326633166,19/6/2022 10:01:50,20/6/2022 01:09:47,0.398115942,0.001500375,0.001500375,0.37388724,0.4515,0.612121212,0.657031684,0.239532619,0.221714967,/home/junsheng/data/tianhang_corn/1655604803_1655604664_4.jpg,0.221714967,"[0.3225531914893617, 0.3694267515923568, 0.3507462686567165, 0.40517241379310354, 0.30208333333333354, 0.10833333333333331, 0.45524296675191817, 0.4753694581280789, 0.3266331658291454, 0.3981159420289855, 0.0015003750937734434, 0.0015003750937734434, 0.3738872403560845, 0.4515, 0.6121212121212121, 0.6570316842690384, 0.23953261927945474]",0
