index,pic_key,date_hour,date,co2,stemp,stemp2,stemp3,stemp4,stemp5,shumi,shumi2,shumi3,shumi4,shumi5,ts,insert_time,humi,pm10,pm25,press,solar,temp,wind_d,wind_sp,LAI,image_path,label,sensor,fold
0.001917546,/794/1655504185_1655503864_4.jpg,2022-06-18 06,2022/6/18,0.355744681,0.350318471,0.365671642,0.405172414,0.89010989,0.375,0,0.00511509,0.022167488,0.589333333,0.005025126,18/6/2022 06:31:46,19/6/2022 01:06:14,0.803333333,0.003750938,0.003750938,0.320474777,0.0442,0.424242424,0.690939411,0.201557936,0.010647737,/home/junsheng/data/tianhang_soybean/1655504185_1655503864_4.jpg,0.010647737,"[0.3557446808510638, 0.35031847133757965, 0.3656716417910448, 0.40517241379310354, 0.3750000000000001, 0.0, 0.0051150895140665694, 0.022167487684729027, 0.005025125628140776, 0.8033333333333335, 0.0037509377344336083, 0.0037509377344336083, 0.3204747774480705, 0.044199999999999996, 0.42424242424242425, 0.6909394107837687, 0.2015579357351509]",0
0.003835091,/794/1655518604_1655518264_4.jpg,2022-06-18 10,2022/6/18,0.342978723,0.350318471,0.343283582,0.379310345,0.886446886,0.354166667,0,0,0.019704433,0.588,0.005025126,18/6/2022 10:01:46,19/6/2022 01:06:24,0.564782609,0.000750188,0.000750188,0.338278932,0.455,0.581414141,0.751806559,0.268743914,0.010647737,/home/junsheng/data/tianhang_soybean/1655518604_1655518264_4.jpg,0.010647737,"[0.34297872340425534, 0.35031847133757965, 0.34328358208955223, 0.37931034482758624, 0.35416666666666685, 0.0, 0.0, 0.01970443349753705, 0.005025125628140776, 0.5647826086956521, 0.0007501875468867217, 0.0007501875468867217, 0.33827893175074186, 0.455, 0.5814141414141414, 0.7518065591995553, 0.26874391431353456]",0
0.004154682,/794/1655518604_1655518264_4.jpg,2022-06-18 10,2022/6/18,0.342978723,0.350318471,0.343283582,0.379310345,0.886446886,0.354166667,0,0,0.019704433,0.588,0.005025126,18/6/2022 10:01:46,19/6/2022 01:06:24,0.514202899,0.000750188,0.000750188,0.332344214,0.5143,0.614949495,0.741245136,0.227848101,0.010647737,/home/junsheng/data/tianhang_soybean/1655518604_1655518264_4.jpg,0.010647737,"[0.34297872340425534, 0.35031847133757965, 0.34328358208955223, 0.37931034482758624, 0.35416666666666685, 0.0, 0.0, 0.01970443349753705, 0.005025125628140776, 0.5142028985507247, 0.0007501875468867217, 0.0007501875468867217, 0.3323442136498503, 0.5143, 0.6149494949494949, 0.7412451361867703, 0.22784810126582278]",0
0.005433046,/794/1655525733_1655525464_4.jpg,2022-06-18 12,2022/6/18,0.335319149,0.414012739,0.358208955,0.379310345,0.884615385,0.34375,0.005555556,0.00511509,0.019704433,0.588,0,18/6/2022 12:01:46,19/6/2022 01:06:30,0.320869565,0,0,0.3115727,0.4965,0.720808081,0.723735409,0.227848101,0.010647737,/home/junsheng/data/tianhang_soybean/1655525733_1655525464_4.jpg,0.010647737,"[0.3353191489361702, 0.4140127388535032, 0.3582089552238805, 0.37931034482758624, 0.34375, 0.005555555555555438, 0.0051150895140665694, 0.01970443349753705, 0.0, 0.3208695652173913, 0.0, 0.0, 0.31157270029673656, 0.4965, 0.7208080808080808, 0.7237354085603112, 0.22784810126582278]",0
0.006072228,/794/1655525733_1655525464_4.jpg,2022-06-18 12,2022/6/18,0.325106383,0.433121019,0.365671642,0.379310345,0.884615385,0.34375,0.008333333,0.002557545,0.019704433,0.588,0,18/6/2022 12:31:46,19/6/2022 01:06:33,0.320869565,0,0,0.3115727,0.4965,0.720808081,0.723735409,0.227848101,0.010647737,/home/junsheng/data/tianhang_soybean/1655525733_1655525464_4.jpg,0.010647737,"[0.3251063829787234, 0.4331210191082803, 0.3656716417910448, 0.37931034482758624, 0.34375, 0.008333333333333257, 0.0025575447570332847, 0.01970443349753705, 0.0, 0.3208695652173913, 0.0, 0.0, 0.31157270029673656, 0.4965, 0.7208080808080808, 0.7237354085603112, 0.22784810126582278]",0
0.006711409,/794/1655533037_1655532664_4.jpg,2022-06-18 14,2022/6/18,0.323404255,0.50955414,0.410447761,0.387931034,0.884615385,0.34375,0.016666667,0.00511509,0.022167488,0.588,0,18/6/2022 14:01:46,19/6/2022 01:06:37,0.105942029,0.002250563,0.002250563,0.305637982,0.35735,0.812929293,0.703168427,0.449853944,0.010647737,/home/junsheng/data/tianhang_soybean/1655533037_1655532664_4.jpg,0.010647737,"[0.32340425531914896, 0.5095541401273885, 0.41044776119403, 0.3879310344827588, 0.34375, 0.016666666666666708, 0.0051150895140665694, 0.022167487684729027, 0.0, 0.10594202898550728, 0.002250562640660165, 0.002250562640660165, 0.305637982195845, 0.35735, 0.812929292929293, 0.7031684269038354, 0.4498539435248296]",0
0.008948546,/794/1655547382_1655547064_4.jpg,2022-06-18 18,2022/6/18,0.338723404,0.605095541,0.52238806,0.465517241,0.89010989,0.34375,0.022222222,0.015345269,0.034482759,0.589333333,0.005025126,18/6/2022 18:01:46,19/6/2022 01:06:49,0.39826087,0.002250563,0.002250563,0.329376855,0.0058,0.636767677,0.664813785,0.121713729,0.010647737,/home/junsheng/data/tianhang_soybean/1655547382_1655547064_4.jpg,0.010647737,"[0.33872340425531916, 0.6050955414012739, 0.5223880597014926, 0.4655172413793104, 0.34375, 0.022222222222222147, 0.015345268542199527, 0.03448275862068962, 0.005025125628140776, 0.39826086956521733, 0.002250562640660165, 0.002250562640660165, 0.32937685459940785, 0.0058, 0.6367676767676769, 0.6648137854363535, 0.12171372930866602]",0
0.010866091,/794/1655583384_1655583064_4.jpg,2022-06-19 04,2022/6/19,0.354042553,0.401273885,0.417910448,0.448275862,0.897435897,0.395833333,0.002777778,0.00511509,0.017241379,0.589333333,0.005025126,19/6/2022 04:31:46,20/6/2022 01:06:05,0.750289855,0.006751688,0.006751688,0.367952522,0.0111,0.401212121,0.64118955,0.0593963,0.104062223,/home/junsheng/data/tianhang_soybean/1655583384_1655583064_4.jpg,0.104062223,"[0.35404255319148936, 0.40127388535031855, 0.417910447761194, 0.44827586206896564, 0.39583333333333337, 0.0027777777777778178, 0.0051150895140665694, 0.017241379310344897, 0.005025125628140776, 0.7502898550724637, 0.006751687921980495, 0.006751687921980495, 0.3679525222551929, 0.0111, 0.4012121212121212, 0.641189549749861, 0.05939629990262902]",0
0.011505273,/794/1655590562_1655590264_4.jpg,2022-06-19 06,2022/6/19,0.350638298,0.382165605,0.395522388,0.439655172,0.895604396,0.395833333,0,0.00511509,0.014778325,0.588,0.005025126,19/6/2022 06:01:46,20/6/2022 01:06:08,0.675507246,0.0060015,0.0060015,0.382789318,0.06965,0.428282828,0.748471373,0.121713729,0.104062223,/home/junsheng/data/tianhang_soybean/1655590562_1655590264_4.jpg,0.104062223,"[0.3506382978723404, 0.3821656050955414, 0.3955223880597014, 0.4396551724137931, 0.39583333333333337, 0.0, 0.0051150895140665694, 0.014778325123152743, 0.005025125628140776, 0.6755072463768116, 0.006001500375093774, 0.006001500375093774, 0.3827893175074185, 0.06965, 0.4282828282828283, 0.7484713729849917, 0.12171372930866602]",0
0.014062001,/794/1655604943_1655604664_4.jpg,2022-06-19 10,2022/6/19,0.339574468,0.394904459,0.373134328,0.405172414,0.89010989,0.375,0.005555556,0.002557545,0.009852217,0.586666667,0.005025126,19/6/2022 10:01:46,20/6/2022 01:06:21,0.398115942,0.001500375,0.001500375,0.37388724,0.4515,0.612121212,0.657031684,0.239532619,0.104062223,/home/junsheng/data/tianhang_soybean/1655604943_1655604664_4.jpg,0.104062223,"[0.3395744680851064, 0.3949044585987261, 0.3731343283582091, 0.40517241379310354, 0.3750000000000001, 0.005555555555555438, 0.0025575447570332847, 0.009852216748768438, 0.005025125628140776, 0.3981159420289855, 0.0015003750937734434, 0.0015003750937734434, 0.3738872403560845, 0.4515, 0.6121212121212121, 0.6570316842690384, 0.23953261927945474]",0
